All postions taken at each second
------------------------------------------------------------------------------------

(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
------------------------------------------------------------------------------------

TIME TAKEN :--
	0 min 4 sec

