(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
(250.0, 6.0, 250.0)
