ESTIMATED ANGLES	ACTUAL ANGLES	BARREL ID


---------------------------------------------------------------------
---------------------------------------------------------------------


BARREL ID	LOCATION (IN WORLD COORDS)
0 	(17.7, 0.0, 187.0)
1 	(233.6, 0.0, 75.3)
2 	(93.4, 0.0, 218.5)
3 	(333.2, 0.0, 81.6)
4 	(291.5, 0.0, 71.0)
5 	(466.6, 0.0, 118.4)
6 	(49.0, 0.0, 290.7)
7 	(225.4, 0.0, 272.9)
8 	(116.3, 0.0, 366.9)
9 	(388.3, 0.0, 401.4)
10 	(319.0, 0.0, 354.3)
11 	(449.7, 0.0, 284.8)
